                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4417,                0.78062,                 1.2109,                0.80469,                0.85313,                0.88253,                0.44073,                 1.6876,                0.83513,                 1.3499,             0.00074804,             0.00074804,             0.00074804
                     35,                 1.4775,                 0.7733,                 1.2259,                0.87388,                0.84416,                0.87271,                0.42163,                 1.7423,                0.89021,                 1.3695,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.4432,                0.77949,                 1.2025,                 0.8069,                0.79179,                0.80459,                0.41132,                  1.751,                0.88466,                 1.4003,             0.00072604,             0.00072604,             0.00072604
                     37,                 1.4346,                0.77486,                 1.2052,                0.88374,                0.80558,                 0.8783,                0.44038,                 1.7126,                0.82516,                 1.3608,             0.00071504,             0.00071504,             0.00071504
                     38,                 1.4302,                0.74849,                 1.2024,                0.88296,                0.83477,                0.88607,                0.42897,                 1.7244,                0.81753,                 1.3928,             0.00070404,             0.00070404,             0.00070404
                     39,                 1.4053,                 0.7403,                 1.2114,                0.81999,                0.78357,                0.83646,                0.39079,                 1.8214,                0.93873,                  1.414,             0.00069304,             0.00069304,             0.00069304
                     40,                 1.3714,                0.80646,                 1.1603,                0.86689,                0.84562,                 0.8994,                0.42021,                  1.739,                0.87853,                  1.398,             0.00068204,             0.00068204,             0.00068204
                     41,                 1.4009,                0.72561,                 1.1854,                 0.8536,                0.81371,                0.85645,                0.42845,                 1.7181,                0.86517,                 1.3743,             0.00067104,             0.00067104,             0.00067104
                     42,                 1.3867,                 0.7181,                  1.183,                0.91246,                 0.8234,                0.87655,                0.44035,                 1.7159,                0.84418,                 1.3972,             0.00066005,             0.00066005,             0.00066005
                     43,                 1.4116,                0.73474,                 1.1995,                0.87926,                0.84132,                0.89109,                0.43069,                 1.7776,                0.87098,                 1.4077,             0.00064905,             0.00064905,             0.00064905
