                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4546,                0.81048,                 1.2225,                0.82921,                 0.8288,                0.84228,                0.40485,                 1.7017,                0.89907,                 1.3388,             0.00086902,             0.00086902,             0.00086902
                     35,                 1.4726,                0.80167,                 1.2253,                0.85645,                0.83479,                0.87678,                0.43885,                 1.7072,                0.86577,                 1.3533,             0.00086169,             0.00086169,             0.00086169
                     36,                 1.4846,                0.80467,                 1.2305,                 0.8989,                0.80652,                0.88882,                 0.4369,                 1.7238,                0.82394,                 1.3758,             0.00085436,             0.00085436,             0.00085436
                     37,                 1.4538,                0.80526,                 1.2141,                0.86118,                0.79989,                0.88253,                0.42809,                 1.7453,                0.86886,                 1.3857,             0.00084703,             0.00084703,             0.00084703
                     38,                  1.437,                0.78183,                 1.2074,                0.84437,                 0.8396,                0.88329,                0.42895,                  1.751,                0.86589,                 1.3868,             0.00083969,             0.00083969,             0.00083969
                     39,                 1.4289,                0.77634,                 1.2254,                 0.8647,                0.81504,                 0.8877,                0.39454,                 1.8119,                 0.8933,                 1.4241,             0.00083236,             0.00083236,             0.00083236
                     40,                 1.3839,                0.80319,                 1.1719,                0.88592,                0.82449,                0.87342,                0.41934,                 1.7714,                0.86551,                 1.4004,             0.00082503,             0.00082503,             0.00082503
                     41,                  1.426,                0.76546,                  1.208,                0.87665,                0.85361,                 0.8984,                0.43842,                 1.7072,                0.84681,                 1.3644,              0.0008177,              0.0008177,              0.0008177
                     42,                 1.4037,                0.74787,                 1.1951,                0.86314,                 0.8431,                0.87571,                0.43869,                 1.7394,                0.82975,                 1.3767,             0.00081036,             0.00081036,             0.00081036
                     43,                 1.4393,                0.76993,                  1.218,                0.89829,                0.83921,                0.90332,                0.44494,                 1.7552,                0.84119,                 1.4092,             0.00080303,             0.00080303,             0.00080303
                     44,                 1.3956,                0.77417,                 1.1819,                0.85513,                0.84763,                0.87486,                0.43766,                 1.6965,                0.82781,                 1.3779,              0.0007957,              0.0007957,              0.0007957
                     45,                 1.3959,                0.73713,                 1.1764,                0.85806,                0.85665,                0.90219,                0.43761,                 1.7158,                0.80959,                 1.3637,             0.00078837,             0.00078837,             0.00078837
                     46,                 1.3668,                0.71406,                 1.1662,                0.83779,                0.82216,                0.86931,                0.43727,                 1.6984,                  0.815,                 1.3553,             0.00078103,             0.00078103,             0.00078103
                     47,                 1.3906,                0.73446,                 1.1644,                0.87442,                0.81874,                0.87284,                0.42252,                 1.7097,                0.83564,                 1.3669,              0.0007737,              0.0007737,              0.0007737
                     48,                 1.3927,                 0.7482,                 1.1842,                0.85927,                0.84858,                0.87412,                0.44905,                 1.7411,                0.83165,                  1.374,             0.00076637,             0.00076637,             0.00076637
                     49,                 1.3701,                0.70815,                 1.1707,                0.87788,                0.85415,                0.90448,                0.44855,                 1.6944,                0.79757,                 1.3648,             0.00075904,             0.00075904,             0.00075904
